Open,Close,High,Low,Volume,Date
15.31925,15.14203,15.31925,15.14203,,08/20/19
15.24541,15.27002,15.3094,15.19618,,08/19/19
14.98451,15.0485,15.06327,14.87129,,08/16/19
15.06819,14.82698,15.17157,14.82698,94.00,08/15/19
15.27987,15.1125,15.34878,15.05835,,08/14/19
15.40293,15.40293,15.40293,15.26017,,08/13/19
15.56538,15.44231,15.58015,15.44231,173.00,08/12/19
15.69337,15.54569,15.69337,15.54569,,08/09/19
15.78197,15.74259,15.78197,15.65399,15.00,08/08/19
15.91489,15.60476,15.91489,15.55553,,08/07/19
15.97888,15.95919,15.97888,15.8755,,08/06/19
16.6582,16.16594,16.6582,16.15117,1,983.00,08/05/19
16.76158,16.64836,16.80096,16.64836,102.00,08/02/19
16.96833,17.0914,17.17508,16.96833,,08/01/19
17.20954,17.19477,17.25384,17.17508,102.00,07/31/19
17.68703,17.22431,17.68703,17.22431,,07/30/19
17.61812,17.76087,17.77564,17.42614,1,083.00,07/29/19
17.75103,17.5492,17.75103,17.51967,305.00,07/26/19
17.38183,17.55905,17.71165,17.38183,,07/25/19
17.59843,17.43106,17.59843,17.33261,,07/24/19
17.49013,17.56889,17.68211,17.49013,,07/23/19
17.42614,17.4409,17.51474,17.38183,,07/22/19
17.55905,17.46059,17.55905,17.38183,,07/19/19
17.43106,17.47536,17.53443,17.43106,,07/18/19
17.69196,17.5492,17.69196,17.5492,1,785.00,07/17/19
17.62304,17.75595,17.75595,17.62304,508.00,07/16/19
17.6575,17.59843,17.6575,17.53443,3,829.00,07/15/19
17.50982,17.60335,17.64273,17.45075,,07/12/19
17.53936,17.51474,17.57381,17.43106,914.00,07/11/19
17.22923,17.45567,17.45567,17.17016,,07/10/19
17.21446,17.25384,17.29815,17.21446,,07/09/19
17.13078,17.30307,17.36214,17.13078,,07/08/19
16.85019,17.16031,17.16031,16.85019,51.00,07/05/19
16.96341,16.85019,16.98802,16.85019,183.00,07/04/19
17.10616,16.94864,17.10616,16.92895,152.00,07/03/19
16.7222,16.89941,16.91418,16.6582,,07/02/19
16.83542,16.69266,16.84526,16.57944,203.00,07/01/19
16.68282,16.67789,16.68282,16.50068,1,832.00,06/28/19
16.3973,16.68282,16.70251,16.3973,2,031.00,06/27/19
16.0921,16.32346,16.37761,16.0921,,06/26/19
16.71235,16.15609,16.71235,16.15609,,06/25/19
16.8748,16.97325,17.16031,16.8748,,06/24/19
16.55483,16.55483,16.55483,16.55483,,06/21/19
16.62375,16.53514,16.62375,16.53514,,06/20/19
16.52903,16.46196,16.60569,16.24157,,06/19/19
16.438,16.44758,16.6009,16.438,,06/18/19
16.438,16.45237,16.45237,16.31823,,06/17/19
16.53382,16.3853,16.66318,16.32781,52.00,06/14/19
16.44758,16.52424,16.52424,16.3326,522.00,06/13/19
16.38051,16.46196,16.49549,16.37093,,06/12/19
16.25594,16.44279,16.44279,16.25594,,06/11/19
15.86308,15.96369,15.96369,15.86308,,06/07/19
16.19845,16.00681,16.19845,15.93973,,06/06/19
16.35655,16.20324,16.55778,16.16491,,06/05/19
16.21761,16.31823,16.35655,16.07867,,06/04/19
15.97806,16.09784,16.09784,15.97806,,06/03/19
16.07867,16.05472,16.07867,16.02118,,05/31/19
16.15533,16.09784,16.15533,16.07867,,05/30/19
16.05951,16.04993,16.11221,16.01639,,05/29/19
16.04514,16.14096,16.15533,16.04514,313.00,05/28/19
15.98285,16.13617,16.13617,15.95411,,05/27/19
16.24157,15.97806,16.25594,15.97806,835.00,05/24/19
16.25115,16.117,16.25115,16.09305,,05/23/19
16.41884,16.15533,16.41884,16.15533,104.00,05/22/19
16.37572,16.39488,16.39488,16.32302,,05/21/19
16.58173,16.36134,16.58173,16.27032,,05/20/19
16.72067,16.50028,16.72067,16.50028,,05/17/19
16.83566,16.69672,16.83566,16.61527,,05/16/19
16.759,16.80212,16.86919,16.759,,05/15/19
